dataset	record_type	gate	biological_unit	rabbit_id	condition_or_day	module	selected_cell_count	module_score	injured_minus_control_residual	day7_mean_residual	day28_mean_residual	cross_sectional_day7_minus_day28	direction
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	Inflammation-associated response	1563.0	0.07499611152931307					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	Collagen	1563.0	0.8551789881788637					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	Contractile	1794.0	0.26821831904458043					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	Matricellular	1794.0	0.16962292841943302					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	LOX/LOXL2	1794.0	0.513046266379499					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	ECM remodeling	1794.0	-0.00874272310510278					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	Keratocyte-associated identity	1794.0	0.5959827554426237					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	Inflammation-associated response	1794.0	-0.022103448736286283					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689612	595E	Day28_Control	Collagen	1794.0	0.8025564194793227					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	Contractile	1749.0	0.3171332779234431					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	Matricellular	1749.0	0.21560027049906288					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	LOX/LOXL2	1749.0	0.5271923271073282					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	ECM remodeling	1749.0	0.18709682747046683					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	Keratocyte-associated identity	1749.0	0.49612103687306375					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	Inflammation-associated response	1749.0	0.01648562980115467					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689613	596E	Day28_Control	Collagen	1749.0	0.9599352630425217					
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	Contractile	8161.0		0.34521908283432307				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	Contractile	4715.0		-0.09599762514266472				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	Contractile	3312.0		-0.019355745439465277				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	Contractile	5414.0		0.2108414950697942				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			Contractile				0.2780302889520586	-0.057676685291065	0.3357069742431236	positive
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	Matricellular	8161.0		0.042388009268452584				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	Matricellular	4715.0		-0.08086622216080151				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	Matricellular	3312.0		-0.07402727934759176				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	Matricellular	5414.0		0.07890130765913166				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			Matricellular				0.06064465846379212	-0.07744675075419663	0.13809140921798874	positive
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	LOX/LOXL2	8161.0		0.16085338934401533				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	LOX/LOXL2	4715.0		-0.06258995271041085				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	LOX/LOXL2	3312.0		-0.07546417548116185				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	LOX/LOXL2	5414.0		0.05715677970220223				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			LOX/LOXL2				0.10900508452310878	-0.06902706409578635	0.17803214861889513	positive
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	ECM remodeling	8161.0		0.10007103900374313				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	ECM remodeling	4715.0		0.024423756426614616				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	ECM remodeling	3312.0		0.037641020564772226				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	ECM remodeling	5414.0		0.14944913605677182				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			ECM remodeling				0.12476008753025747	0.03103238849569342	0.09372769903456404	positive
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	Keratocyte-associated identity	8161.0		-0.13690072686179117				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	Keratocyte-associated identity	4715.0		-0.12504248302242726				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	Keratocyte-associated identity	3312.0		0.020211580973007792				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	Keratocyte-associated identity	5414.0		0.04208391009273982				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			Keratocyte-associated identity				-0.047408408384525674	-0.052415451024709736	0.005007042640184062	positive
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	Inflammation-associated response	8161.0		0.18849297741641446				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	Inflammation-associated response	4715.0		0.043408107644669805				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	Inflammation-associated response	3312.0		0.0585104817281584				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	Inflammation-associated response	5414.0		0.15027162740754169				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			Inflammation-associated response				0.16938230241197808	0.0509592946864141	0.11842300772556397	positive
GSE328779	rabbit_residual	NEGSEL_STRICT	594E	594E	Day7	Collagen	8161.0		0.06584919042388859				
GSE328779	rabbit_residual	NEGSEL_STRICT	595E	595E	Day28	Collagen	4715.0		-0.11421308785338524				
GSE328779	rabbit_residual	NEGSEL_STRICT	596E	596E	Day28	Collagen	3312.0		-0.10475627486365802				
GSE328779	rabbit_residual	NEGSEL_STRICT	616E	616E	Day7	Collagen	5414.0		0.08725690384804752				
GSE328779	gate_summary	NEGSEL_STRICT	day_group_mean			Collagen				0.07655304713596806	-0.10948468135852163	0.18603772849448968	positive
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	Contractile	5973.0	0.33232585864002084					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	Matricellular	5973.0	0.11547269328056992					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	LOX/LOXL2	5973.0	0.27561030263527014					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	ECM remodeling	5973.0	0.14210651575174152					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	Keratocyte-associated identity	5973.0	0.11397785522344835					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	Inflammation-associated response	5973.0	0.13422267080474662					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689606	594E	Day7_FI	Collagen	5973.0	0.2749534823317576					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	Contractile	6239.0	0.18132464901566128					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	Matricellular	6239.0	0.09533675781332908					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	LOX/LOXL2	6239.0	0.1268405826578123					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	ECM remodeling	6239.0	0.09746865899413609					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	Keratocyte-associated identity	6239.0	0.07726338307502703					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	Inflammation-associated response	6239.0	-0.027612736350760527					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689607	616E	Day7_FI	Collagen	6239.0	0.20749842827268683					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689608	594E	Day7_Control	Contractile	8908.0	0.008383406179936574					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689608	594E	Day7_Control	Matricellular	8908.0	0.00014632565368483477					
GSE328779	eye_score	NEGSEL_PERMISSIVE	GSM9689608	594E	Day7_Control	LOX/LOXL2	8908.0	0.07019782865686086					
